,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
0,20090102,AAPL,12.964285714285714,12.268571428571429,13.005714285714287,12.165714285714285,26641980.0,0.0,100.0,66.66666666666653,100.0,0.0
1,20090102,AXP,19.33,18.57,19.52,18.4,10955620.0,0.0,100.0,66.66666666666666,100.0,0.0
2,20090102,BA,45.25,42.8,45.56,42.78,7010171.0,0.0,100.0,66.66666666666633,100.0,0.0
3,20090102,CAT,46.91,44.91,46.98,44.71,7116726.0,0.0,0.0,66.66666666666667,100.0,0.0
4,20090102,CSCO,16.96,16.41,17.0,16.25,40977480.0,0.0,100.0,66.66666666666667,100.0,0.0
5,20090102,CVX,76.52,74.23,77.3,73.58,13695840.0,0.0,100.0,66.66666666666667,100.0,0.0
6,20090102,DD,46.234623462346235,45.54455445544554,46.50465046504651,44.25442544254425,18859390.0,0.0,0.0,66.66666666666666,100.0,0.0
7,20090102,DIS,23.92,22.76,24.03,22.5,9796596.0,0.0,0.0,66.66666666666667,100.0,0.0
8,20090102,GS,86.76,84.02,87.62,82.19,14087610.0,0.0,100.0,66.66666666666667,100.0,0.0
9,20090102,HD,24.13,23.07,24.19,22.96,14902490.0,0.0,100.0,66.66666666666633,100.0,0.0
10,20090102,IBM,87.37,83.89,87.59,83.89,7557927.0,0.0,0.0,66.66666666666667,100.0,0.0
11,20090102,INTC,15.2,14.69,15.25,14.47,52208100.0,0.0,0.0,66.66666666666667,100.0,0.0
12,20090102,JNJ,60.65,60.13,61.0,59.04,11638820.0,0.0,0.0,-66.66666666666387,100.0,0.0
13,20090102,JPM,31.35,31.19,31.64,30.47,32494840.0,0.0,0.0,-66.66666666666684,100.0,0.0
14,20090102,KO,22.95,22.7,23.0,22.5225,8177884.0,0.0,0.0,-66.66666666666994,100.0,0.0
15,20090102,MCD,63.75,62.38,64.13,62.2,8652417.0,0.0,0.0,66.66666666667344,100.0,0.0
16,20090102,MMM,59.19,57.55,59.39,57.52,5313866.0,0.0,0.0,-66.66666666666312,100.0,0.0
17,20090102,MRK,31.0,30.46,31.12,30.31,12207370.0,0.0,0.0,66.66666666665245,100.0,0.0
