,datadate,tic,prccd,ajexdi,prcod,prchd,prcld,cshtrd
0,20090102,AXP,19.33,1.0,18.57,19.52,18.4,10955620.0
1,20090105,AXP,19.95,1.0,19.2,20.24,19.0,16019130.0
2,20090106,AXP,21.07,1.0,20.3,21.38,20.01,13819380.0
3,20090107,AXP,20.01,1.0,20.53,20.72,19.83,15699820.0
4,20090108,AXP,20.04,1.0,19.8,20.17,19.4,12255070.0
5,20090109,AXP,19.23,1.0,20.16,20.3,19.17,12592110.0
6,20090112,AXP,18.83,1.0,19.01,19.43,18.55,12252580.0
7,20090113,AXP,18.99,1.0,18.64,19.3857,18.41,11864760.0
8,20090114,AXP,17.83,1.0,18.43,18.67,17.7,17039810.0
9,20090115,AXP,17.32,1.0,18.18,18.39,16.74,25799270.0
10,20090116,AXP,17.01,1.0,17.87,17.98,16.33,20615030.0
11,20090120,AXP,15.6,1.0,16.84,17.15,15.58,23328620.0
12,20090121,AXP,16.87,1.0,16.35,16.98,15.74,23124020.0
13,20090122,AXP,16.06,1.0,16.33,16.8,15.75,16471980.0
14,20090123,AXP,16.0,1.0,15.2,16.31,14.72,24320170.0
15,20090126,AXP,15.2,1.0,15.57,16.35,15.01,26480110.0
16,20090127,AXP,16.68,1.0,16.09,16.83,15.56,28116270.0
17,20090128,AXP,17.85,1.0,17.8,18.1,17.31,20973560.0
18,20090129,AXP,16.71,1.0,17.26,17.85,16.63,17476490.0
19,20090130,AXP,16.73,1.0,16.94,17.7,16.29,16426810.0
20,20090202,AXP,16.98,1.0,16.35,17.12,16.07,14512990.0
21,20090203,AXP,16.09,1.0,17.07,17.08,15.91,17112080.0
22,20090204,AXP,16.36,1.0,16.19,17.07,16.17,14288010.0
23,20090205,AXP,17.03,1.0,16.4,17.78,15.37,27254570.0
24,20090206,AXP,17.93,1.0,17.35,18.27,17.12,18973440.0
25,20090209,AXP,17.75,1.0,17.91,17.94,17.32,10952700.0
26,20090210,AXP,15.97,1.0,17.5,17.8,15.81,25782520.0
27,20090211,AXP,16.36,1.0,16.3,16.65,15.83,13389860.0
28,20090212,AXP,16.19,1.0,15.91,16.27,15.03,23438530.0
29,20090213,AXP,15.74,1.0,16.05,16.33,15.58,12738720.0
30,20090217,AXP,13.96,1.0,14.93,15.4,13.95,29446140.0
31,20090218,AXP,14.1,1.0,14.11,14.24,13.4,26257540.0
32,20090219,AXP,12.87,1.0,14.26,14.51,12.74,29658690.0
33,20090220,AXP,12.97,1.0,12.59,13.2,12.17,32547420.0
34,20090223,AXP,12.15,1.0,13.27,13.35,12.09,23529330.0
35,20090224,AXP,13.62,1.0,12.3,13.77,11.44,40852330.0
36,20090225,AXP,13.07,1.0,13.44,13.7,12.33,29808920.0
