date,account_value
2010-07-01,1000000.0
2010-07-02,999978.5518708228
2010-07-06,1000052.2549183884
2010-07-07,1000532.9498062861
2010-07-08,1000707.6631060163
2010-07-09,1001058.6349687101
2010-07-12,1000965.6185653975
2010-07-13,1001751.9882616751
2010-07-14,1001625.4553728813
2010-07-15,1002378.3916901572
2010-07-16,1001472.7614633584
2010-07-19,1001774.2035662713
2010-07-20,1002845.3782456651
2010-07-21,1002207.9807887275
2010-07-22,1003363.3114697976
2010-07-23,1004182.1248386656
2010-07-26,1004941.9913530546
2010-07-27,1004509.6116743551
2010-07-28,1004284.6040240024
2010-07-29,1005536.4291831458
2010-07-30,1005303.5096269607
2010-08-02,1007462.0905838758
2010-08-03,1007288.8431060886
2010-08-04,1008941.3713928355
2010-08-05,1008870.8962506216
2010-08-06,1008431.7660821836
2010-08-09,1009140.0579694457
2010-08-10,1007818.2203042292
2010-08-11,1002792.6838006796
2010-08-12,1001740.0133309225
2010-08-13,1001267.3846367373
2010-08-16,1001251.6443251128
2010-08-17,1003562.2040667797
2010-08-18,1003853.2810700411
2010-08-19,1000842.7361165708
2010-08-20,1000767.4854975217
2010-08-23,998550.0340687709
2010-08-24,994356.8314128595
2010-08-25,994419.8265724303
2010-08-26,991848.4511311447
2010-08-27,993829.2391959667
2010-08-30,989817.7666421317
2010-08-31,990227.5460553045
2010-09-01,997041.4439695405
2010-09-02,998608.4746283272
2010-09-03,1006162.132503432
2010-09-07,1002747.3534140763
2010-09-08,1005567.5475178801
2010-09-09,1006395.7768831423
2010-09-10,1009012.1735902996
2010-09-13,1014098.7719426613
2010-09-14,1011841.2191296997
2010-09-15,1012279.480847828
2010-09-16,1012154.3449176808
2010-09-17,1012035.7697832908
2010-09-20,1015791.5500671129
2010-09-21,1016331.3320586616
2010-09-22,1012133.463504432
2010-09-23,1007598.18275941
2010-09-24,1015573.9321376259
2010-09-27,1013377.9247867996
2010-09-28,1013620.7847305919
2010-09-29,1013710.4224854326
2010-09-30,1012625.6599663153
2010-10-01,1016297.9363788634
2010-10-04,1012922.1847622101
2010-10-05,1022286.8977011635
2010-10-06,1024179.1707642815
2010-10-07,1023953.0219401886
2010-10-08,1028005.7341354938
2010-10-11,1027561.8010350774
2010-10-12,1030471.8212226555
2010-10-13,1033118.8080404369
2010-10-14,1029539.399048606
2010-10-15,1028127.7979187234
2010-10-18,1033431.7142506879
2010-10-19,1030979.0821694768
2010-10-20,1039047.2803328224
2010-10-21,1038853.5215691888
2010-10-22,1037275.1831999471
2010-10-25,1038115.9101777265
2010-10-26,1039728.4966140611
2010-10-27,1040598.2318660772
2010-10-28,1044558.3918723485
2010-10-29,1042413.4340609969
2010-11-01,1042911.4998127708
2010-11-02,1046231.7008386325
2010-11-03,1046345.5672525042
2010-11-04,1060695.440258482
2010-11-05,1067466.9893449019
2010-11-08,1063322.3767070752
2010-11-09,1056999.4478277797
2010-11-10,1057983.3540351926
2010-11-11,1056296.8968730983
2010-11-12,1049353.5395846558
2010-11-15,1051982.6912482511
2010-11-16,1044815.3079647027
2010-11-17,1046265.3720767614
2010-11-18,1057727.3132407744
2010-11-19,1057106.9508707698
2010-11-22,1048748.715873152
2010-11-23,1038134.93876907
2010-11-24,1049763.3675469572
2010-11-26,1043217.0686036017
2010-11-29,1042826.8257688561
2010-11-30,1037909.0820476018
2010-12-01,1053000.6207200224
2010-12-02,1064997.8454968834
2010-12-03,1066584.8490810622
2010-12-06,1065813.262922592
2010-12-07,1066518.4818191489
2010-12-08,1072214.727644516
2010-12-09,1072318.8083522376
2010-12-10,1077171.4562745322
2010-12-13,1082000.502985998
2010-12-14,1081147.930149618
2010-12-15,1077176.7321193619
2010-12-16,1079838.708980532
2010-12-17,1077994.4140819209
2010-12-20,1080641.3394224867
2010-12-21,1089524.5542068083
2010-12-22,1093913.8306699411
2010-12-23,1090778.1657405435
2010-12-27,1092197.8745116284
2010-12-28,1091760.4799238313
2010-12-29,1089663.3481300422
2010-12-30,1089062.1226790345
2010-12-31,1090250.9676657382
2011-01-03,1104013.0809941455
2011-01-04,1102469.3462137976
2011-01-05,1107730.2204389563
2011-01-06,1104546.3935139896
2011-01-07,1101695.1594974834
2011-01-10,1096667.3704798175
2011-01-11,1097595.4095885116
2011-01-12,1105779.7969550448
2011-01-13,1105281.693891925
2011-01-14,1114144.132835889
2011-01-18,1121571.2897248853
2011-01-19,1103350.0840966962
2011-01-20,1097768.1425819655
2011-01-21,1098391.50134748
2011-01-24,1107235.297502185
2011-01-25,1097505.2827555363
2011-01-26,1097176.0781676762
2011-01-27,1105145.1070734703
2011-01-28,1090377.8418818582
2011-01-31,1101232.237381388
2011-02-01,1113192.5847935984
2011-02-02,1116767.027641062
2011-02-03,1115361.4748625967
2011-02-04,1117806.7282075179
2011-02-07,1127018.2552407058
2011-02-08,1133972.6941866085
2011-02-09,1126866.6863038123
2011-02-10,1126779.1039932654
2011-02-11,1135301.2391893913
2011-02-14,1136595.8001129772
2011-02-15,1134395.79797777
2011-02-16,1140420.1679692413
2011-02-17,1138665.1027074605
2011-02-18,1149409.8781280883
2011-02-22,1122396.7242695533
2011-02-23,1117351.4131125223
2011-02-24,1121855.2451794168
2011-02-25,1132715.3837515186
2011-02-28,1136746.0055719484
2011-03-01,1117023.3020057862
2011-03-02,1118500.1478518983
2011-03-03,1141640.4168721726
2011-03-04,1127784.2370559066
2011-03-07,1117481.9568649714
2011-03-08,1132163.4786038192
2011-03-09,1128905.6347212899
2011-03-10,1106295.4480012944
2011-03-11,1114120.7193377926
2011-03-14,1111362.0661654607
2011-03-15,1100959.620463569
2011-03-16,1081442.6565625402
2011-03-17,1097127.1065556777
2011-03-18,1114269.8582742703
2011-03-21,1130979.3912557825
2011-03-22,1129841.1139761135
2011-03-23,1131808.6808100578
2011-03-24,1139177.4789048578
2011-03-25,1139631.2738073398
2011-03-28,1136603.762441519
2011-03-29,1149015.388854933
2011-03-30,1155019.203642769
2011-03-31,1152606.5882804396
2011-04-01,1161754.6536073629
2011-04-04,1160286.0891104816
2011-04-05,1158086.4186091549
2011-04-06,1161323.7922201073
2011-04-07,1159421.9806938802
2011-04-08,1155384.5802237561
2011-04-11,1152637.5132547687
2011-04-12,1136706.0406251643
2011-04-13,1137571.356122352
2011-04-14,1130957.114783499
2011-04-15,1131795.635363517
2011-04-18,1115892.4908116553
2011-04-19,1120709.1067072984
2011-04-20,1140313.2302415601
2011-04-21,1148240.933709922
2011-04-25,1142144.4387300476
2011-04-26,1158562.1517304652
2011-04-27,1161748.0940609695
2011-04-28,1160933.4266138908
2011-04-29,1170438.0604078267
2011-05-02,1167042.9376834147
2011-05-03,1163522.0015866891
2011-05-04,1150764.255956029
2011-05-05,1139288.8535058547
2011-05-06,1144509.6479379036
2011-05-09,1149473.5049508612
2011-05-10,1157330.1669160367
2011-05-11,1138979.6945863687
2011-05-12,1128512.517339821
2011-05-13,1116513.6389479735
2011-05-16,1109286.9494660618
2011-05-17,1096277.601428013
2011-05-18,1111480.7216368525
2011-05-19,1111899.4158125184
2011-05-20,1097638.6012921412
2011-05-23,1086235.0194598858
2011-05-24,1086451.4616544887
2011-05-25,1093804.1302634547
2011-05-26,1097358.086180775
2011-05-27,1105012.047832926
2011-05-31,1117812.1534207212
2011-06-01,1084088.207605632
2011-06-02,1081456.3995111964
2011-06-03,1075789.6564626868
2011-06-06,1067367.3812998794
2011-06-07,1064115.0671063806
2011-06-08,1055656.5382208435
2011-06-09,1066360.5527694628
2011-06-10,1055437.6376584303
2011-06-13,1054611.0717334691
2011-06-14,1068976.3772126238
2011-06-15,1050282.51588678
2011-06-16,1054852.1365987046
2011-06-17,1059313.4008123362
2011-06-20,1065955.2534307158
2011-06-21,1082299.6310591614
2011-06-22,1071395.5743068382
2011-06-23,1064286.0352832654
2011-06-24,1055474.0253667901
2011-06-27,1063408.961686578
2011-06-28,1079161.1062277404
2011-06-29,1085826.6923740963
2011-06-30,1103209.2519675419
2011-07-01,1121731.1886903222
2011-07-05,1119281.3525307258
2011-07-06,1126037.8908373893
2011-07-07,1138897.4028083126
