time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/reward,train/clip_fraction,train/clip_range,train/loss,train/n_updates,train/explained_variance,train/value_loss,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/std
2048,6,324,1,0.037653692,,,,,,,,,,,
4096,13,294,2,0.0005339063,0.1771484375,0.2,-0.18186011910438538,10,0.002279520034790039,0.5294119048863649,0.0003,0.010893809,-0.011692112917080522,-41.20344018936157,1.0033434629440308
6144,21,291,3,0.07823432,0.099853515625,0.2,-0.15890106558799744,20,0.0,0.6084907764568925,0.0003,0.008918757,-0.008924777450738474,-41.28563888072968,1.0056426525115967
8192,28,284,4,0.124837495,0.090234375,0.2,-0.10480359196662903,30,0.00040078163146972656,0.6851020492613316,0.0003,0.0085499175,-0.011050101486034691,-41.36932828426361,1.0093938112258911
10240,35,284,5,0.06330066,0.10537109375,0.2,-0.17422518134117126,40,0.0032526254653930664,0.6124847833067179,0.0003,0.011089224,-0.009221991163212807,-41.468157863616945,1.0125781297683716
12288,43,281,6,0.060538825,0.118115234375,0.2,-0.09053528308868408,50,0.0179135799407959,0.7971247959882021,0.0003,0.0119460095,-0.013197568012401462,-41.565084433555604,1.0159187316894531
14336,50,282,7,0.017217169,0.1171875,0.2,0.042474716901779175,60,0.031582534313201904,1.047059679031372,0.0003,0.008336492,-0.007769987641950138,-41.579147696495056,1.0141159296035767
16384,57,283,8,0.09677227,0.11396484375,0.2,0.12065297365188599,70,0.08435267210006714,1.1885575592517852,0.0003,0.010306429,-0.010851571678358596,-41.55129220485687,1.0142267942428589
18432,65,282,9,-0.004555552,0.14443359375,0.2,0.18003585934638977,80,0.06609994173049927,1.3272130232304336,0.0003,0.0105203595,-0.01214189191814512,-41.57205741405487,1.0155909061431885
20480,72,281,10,0.061442688,0.127392578125,0.2,0.28455767035484314,90,0.12197011709213257,1.4856294624507427,0.0003,0.01199339,-0.010499992533004843,-41.63665497303009,1.0190470218658447
22528,79,281,11,0.071246274,0.18583984375,0.2,0.09212225675582886,100,0.1960323452949524,1.4006674505770207,0.0003,0.016961843,-0.020163315095123834,-41.71060602664947,1.0201369524002075
24576,87,282,12,0.12253193,0.140625,0.2,0.40350356698036194,110,0.30548954010009766,1.6231644317507743,0.0003,0.014521267,-0.011568382693803869,-41.75869598388672,1.0229336023330688
26624,94,281,13,0.08590524,0.18447265625,0.2,0.44063037633895874,120,0.35098516941070557,1.5447089742869138,0.0003,0.02393993,-0.013736137535306624,-41.845993065834044,1.0257046222686768
28672,102,280,14,0.077894025,0.1365234375,0.2,0.2895224690437317,130,0.3876481056213379,1.415904339402914,0.0003,0.013695415,-0.01655077880132012,-41.91136875152588,1.0282204151153564
30720,109,280,15,0.11014676,0.14833984375,0.2,0.1336546242237091,140,0.4712103009223938,1.2711525075137615,0.0003,0.013750285,-0.013347183269797825,-41.94253654479981,1.0273890495300293
32768,117,278,16,0.12050973,0.1421875,0.2,0.3840603530406952,150,0.4646204113960266,1.371477410942316,0.0003,0.010101486,-0.013832201500190423,-41.96244413852692,1.030086874961853
34816,125,277,17,0.12610887,0.134521484375,0.2,0.26100754737854004,160,0.4603249430656433,1.3771557703614234,0.0003,0.011598418,-0.012466651547583751,-42.041646003723145,1.0329718589782715
36864,133,276,18,0.15201189,0.142138671875,0.2,0.31339606642723083,170,0.5007196962833405,1.442005915939808,0.0003,0.0174194,-0.016665765983634628,-42.12239663600921,1.035638451576233
38912,140,276,19,0.040097352,0.183349609375,0.2,0.24080199003219604,180,0.4603772759437561,1.558100478351116,0.0003,0.012317485,-0.013643647948629222,-42.23560433387756,1.0406612157821655
40960,148,276,20,0.13495888,0.144775390625,0.2,0.2199016511440277,190,0.5051404535770416,1.6251871019601822,0.0003,0.01258685,-0.013617155380779877,-42.32605402469635,1.0429426431655884
43008,155,276,21,0.08211948,0.141552734375,0.2,0.47793594002723694,200,0.43588536977767944,1.7274113602936267,0.0003,0.011876788,-0.011527437446056865,-42.39077751636505,1.0449906587600708
45056,162,277,22,0.19327682,0.160107421875,0.2,0.18158286809921265,210,0.5190668404102325,1.2194586649537087,0.0003,0.015513986,-0.01734594409354031,-42.454361128807065,1.0472350120544434
47104,169,277,23,0.1915733,0.17646484375,0.2,0.2288515865802765,220,0.4745641350746155,1.5328493952751159,0.0003,0.015554616,-0.015956119175825734,-42.49456415176392,1.0482566356658936
49152,177,277,24,0.16864315,0.176708984375,0.2,0.37577196955680847,230,0.4585404396057129,1.241607465967536,0.0003,0.015141135,-0.012541501289524604,-42.520078253746036,1.049639105796814
51200,184,277,25,0.12738892,0.14228515625,0.2,0.21109265089035034,240,0.4610506296157837,1.2690287377685308,0.0003,0.009397167,-0.009723218940780497,-42.551016974449155,1.0501453876495361
53248,192,276,26,0.12550163,0.158203125,0.2,0.1688893437385559,250,0.12728351354599,1.212086484581232,0.0003,0.011070171,-0.01151533488300629,-42.61170566082001,1.0539852380752563
55296,199,276,27,0.073808126,0.139892578125,0.2,0.2143850326538086,260,0.386638879776001,1.3320086609572173,0.0003,0.009344015,-0.009864483610726893,-42.731692504882815,1.057877779006958
57344,207,276,28,0.1818742,0.126953125,0.2,0.10643771290779114,270,0.3438336253166199,1.3530534762889146,0.0003,0.010179522,-0.007715902003110386,-42.79226284027099,1.0596296787261963
59392,214,276,29,0.08030583,0.13916015625,0.2,0.2043636441230774,280,0.22098976373672485,1.334956008568406,0.0003,0.0109104505,-0.009563758483272978,-42.89141838550567,1.0646668672561646
61440,221,276,30,0.14675157,0.158984375,0.2,0.06271731853485107,290,0.257097065448761,1.26652651168406,0.0003,0.011577703,-0.011419739776465576,-43.02847535610199,1.0697005987167358
63488,228,277,31,0.17517595,0.12705078125,0.2,0.024612396955490112,300,0.15931129455566406,1.0260291278362275,0.0003,0.009059229,-0.007518181862542406,-43.09134111404419,1.0700054168701172
65536,236,277,32,0.07454551,0.095556640625,0.2,0.041522204875946045,310,0.339816153049469,1.16909510307014,0.0003,0.007140044,-0.008093686906795483,-43.13198342323303,1.0732346773147583
67584,243,277,33,0.04835133,0.093359375,0.2,0.36809414625167847,320,0.26845383644104004,1.2873659256845713,0.0003,0.0093351025,-0.006756962697545532,-43.226233673095706,1.0765970945358276
69632,249,278,34,-0.011762461,0.1279296875,0.2,-0.018868833780288696,330,0.15001064538955688,1.1837256669998169,0.0003,0.009910939,-0.00918836309283506,-43.32156019210815,1.0794051885604858
71680,257,278,35,0.09777836,0.07705078125,0.2,0.15554523468017578,340,0.38469457626342773,1.28943354152143,0.0003,0.00855857,-0.007139729497430381,-43.389788436889646,1.0824130773544312
73728,264,278,36,0.07938346,0.110791015625,0.2,0.2425786554813385,350,0.3196218013763428,1.3299951244145631,0.0003,0.009747965,-0.009416462472290731,-43.462130951881406,1.0853581428527832
75776,271,279,37,0.12319857,0.118994140625,0.2,0.5540046691894531,360,0.40847712755203247,1.699501594901085,0.0003,0.009013082,-0.009350271000585053,-43.51617789268494,1.08597731590271
77824,279,278,38,0.060039088,0.119189453125,0.2,0.3049365282058716,370,0.005146920680999756,1.4541784949600696,0.0003,0.009478487,-0.010694940827670507,-43.57403140068054,1.0895044803619385
79872,286,279,39,0.0942357,0.14169921875,0.2,0.18546345829963684,380,0.011669695377349854,1.4136619590222836,0.0003,0.01081111,-0.012339566215814557,-43.68516659736633,1.094446063041687
81920,293,279,40,0.11743168,0.0927734375,0.2,0.32897067070007324,390,-0.00030612945556640625,1.4462937910109759,0.0003,0.008578923,-0.009576977454707957,-43.77839930057526,1.0966064929962158
