date,ensemble
2022-01-03,1000000.0
2022-01-04,999269.154019085
2022-01-05,992340.0389217722
2022-01-06,990785.8700432664
2022-01-07,992562.5472628556
2022-01-10,990432.4210508118
2022-01-11,994497.259534687
2022-01-12,991258.7251229514
2022-01-13,986006.4414788513
2022-01-14,977528.2297597884
2022-01-18,954280.8294085006
2022-01-19,943046.429869892
2022-01-20,941333.0009368703
2022-01-21,929647.684724968
2022-01-24,930493.039211052
2022-01-25,938071.0976036758
2022-01-26,940828.427480278
2022-01-27,937476.0863024064
2022-01-28,956988.1147123032
2022-01-31,956031.1347977635
2022-02-01,957714.5958472592
2022-02-02,958228.0160261838
2022-02-03,953945.088396862
2022-02-04,956086.1663772584
2022-02-07,956281.8312270776
2022-02-08,962470.7570761988
2022-02-09,968334.4445881308
2022-02-10,958531.1064252052
2022-02-11,945521.1990806656
2022-02-14,940155.1795174142
2022-02-15,954021.4967606316
2022-02-16,953702.1281153642
2022-02-17,935825.3104443436
2022-02-18,930867.6498236086
2022-02-22,920941.6505045968
2022-02-23,909114.707215752
2022-02-24,906858.6525230828
2022-02-25,934687.0403871804
2022-02-28,931488.7681075326
2022-03-01,909244.4153638805
2022-03-02,925976.0874648936
2022-03-03,926767.935961918
2022-03-04,919961.7645761378
2022-03-07,895066.221651768
2022-03-08,889384.020990925
2022-03-09,910932.2146993144
2022-03-10,910392.4908340876
2022-03-11,904435.8497503398
2022-03-14,907970.9848530352
2022-03-15,926289.901231148
2022-03-16,937737.261677891
2022-03-17,951153.49299984
2022-03-18,955498.4901154636
2022-03-21,958221.8002902188
2022-03-22,964213.28318224
2022-03-23,957443.3303513454
2022-03-24,970432.8285811084
2022-03-25,977703.7550835956
2022-03-28,978340.7345190851
2022-03-29,981141.8074465488
2022-03-30,984543.3819389996
2022-03-31,968735.164465298
2022-04-01,973141.9064000096
2022-04-04,972965.739079758
2022-04-05,972363.5445152476
2022-04-06,979539.5868290449
2022-04-07,981570.9837399486
2022-04-08,988088.2590525708
2022-04-11,974233.2871338772
2022-04-12,970616.7807814413
2022-04-13,976155.4264308704
2022-04-14,971923.6840414088
2022-04-18,968075.2887784428
2022-04-19,978133.291031464
2022-04-20,985303.168022591
2022-04-21,976727.8503157428
2022-04-22,953822.5777853588
2022-04-25,964259.1976860812
2022-04-26,947681.85032235
2022-04-27,942267.6429121174
2022-04-28,953360.6236815876
2022-04-29,930742.089360249
2022-05-02,920422.727304253
2022-05-03,919089.5264604192
2022-05-04,934422.011252274
2022-05-05,914034.6337450718
2022-05-06,917383.1902539372
2022-05-09,904542.1831594624
2022-05-10,906460.0017893986
2022-05-11,902677.0159304814
2022-05-12,900414.2837716603
2022-05-13,905547.8876161427
2022-05-16,911518.7356703648
2022-05-17,918222.072248734
2022-05-18,917303.873756928
2022-05-19,915113.4344478878
2022-05-20,914973.1529630704
2022-05-23,918430.441836079
2022-05-24,917215.4962642367
2022-05-25,918428.5526926462
2022-05-26,922206.7767877236
2022-05-27,927762.6378437576
2022-05-31,926283.4356006468
2022-06-01,924824.3078642916
2022-06-02,934323.03445853
2022-06-03,930474.367736442
2022-06-06,930838.3417685542
2022-06-07,934174.709971832
2022-06-08,929375.402846584
2022-06-09,917105.5778571734
2022-06-10,901647.172021274
2022-06-13,879950.3345653567
2022-06-14,880800.1752131572
2022-06-15,893394.5404606089
2022-06-16,878645.3338199266
2022-06-17,878455.5473584513
2022-06-21,891111.2707322115
2022-06-22,891960.2684617991
2022-06-23,901234.201689323
2022-06-24,924434.12022763
2022-06-27,924382.0652113796
2022-06-28,911345.4154932208
2022-06-29,917210.9437782894
2022-06-30,910268.6937118678
2022-07-01,919198.5682652736
2022-07-05,912839.0202502742
2022-07-06,915133.5105914609
2022-07-07,921959.770644199
