date,ensemble,dji
2022-01-03,1000000.0,1000000.0
2022-01-04,999269.154019085,1005865.5049902436
2022-01-05,992340.0389217722,995136.0138376162
2022-01-06,990785.8700432664,990471.7975821542
2022-01-07,992562.5472628556,990340.3615824638
2022-01-10,990432.4210508118,985890.7565044003
2022-01-11,994497.259534687,990896.8558394794
2022-01-12,991258.7251229514,991943.7526526102
2022-01-13,986006.4414788513,987113.9334438421
2022-01-14,977528.2297597884,981597.6787825888
2022-01-18,954280.8294085006,966746.2649914182
2022-01-19,943046.429869892,957457.7651075325
2022-01-20,941333.0009368703,948895.3129879801
2022-01-21,929647.684724968,936594.6758276811
2022-01-24,930493.039211052,939304.2220211355
2022-01-25,938071.0976036758,937479.1728394073
2022-01-26,940828.427480278,933935.63266254
2022-01-27,937476.0863024064,933735.8627556182
2022-01-28,956988.1147123032,949170.7840515067
2022-01-31,956031.1347977635,960278.8877588881
2022-02-01,957714.5958472592,967751.3072863698
2022-02-02,958228.0160261838,973876.4811240927
2022-02-03,953945.088396862,959713.1043613582
2022-02-04,956086.1663772584,959127.5681937693
2022-02-07,956281.8312270776,959165.5789296668
2022-02-08,962470.7570761988,969324.1616417221
2022-02-09,968334.4445881308,977668.4791167842
2022-02-10,958531.1064252052,963278.2124276955
2022-02-11,945521.1990806656,949514.9093374547
2022-02-14,940155.1795174142,944816.6329001071
2022-02-15,954021.4967606316,956369.6544066027
2022-02-16,953702.1281153642,954878.0533378178
2022-02-17,935825.3104443436,937870.0641431168
2022-02-18,930867.6498236086,931505.4013148939
2022-02-22,920941.6505045968,918315.0353280962
2022-02-23,909114.707215752,905609.092680531
2022-02-24,906858.6525230828,908125.5955860567
2022-02-25,934687.0403871804,930946.9851667373
2022-02-28,931488.7681075326,926405.5564008318
2022-03-01,909244.4153638805,910069.5884750595
2022-03-02,925976.0874648936,926371.3894472161
2022-03-03,926767.935961918,923728.4688133122
2022-03-04,919961.7645761378,918812.2712749346
2022-03-07,895066.221651768,897015.8903027246
2022-03-08,889384.020990925,891966.3348735155
2022-03-09,910932.2146993144,909831.8078322402
2022-03-10,910392.4908340876,906765.5372886921
2022-03-11,904435.8497503398,900482.1277470364
2022-03-14,907970.9848530352,900510.7425706895
2022-03-15,926289.901231148,916886.32280831
2022-03-16,937737.261677891,931065.9288740121
2022-03-17,951153.49299984,942482.0690225849
2022-03-18,955498.4901154636,949976.0564395365
2022-03-21,958221.8002902188,944456.2783111915
2022-03-22,964213.28318224,951411.9226652359
2022-03-23,957443.3303513454,939140.2206437801
