,number,value,datetime_start,datetime_complete,duration,params_act_fun,params_exponent_n_steps,params_gamma,params_lr,params_max_grad_norm,params_net_arch,user_attrs_gamma_,user_attrs_n_steps,state
0,0,64.9,2025-05-12 11:01:35.754883,2025-05-12 11:02:05.314462,0 days 00:00:29.559579,relu,3,0.06235311831678786,5.22225490441853e-05,4.990617885002144,tiny,0.9376468816832122,8,COMPLETE
1,1,90.0,2025-05-12 11:02:05.316166,2025-05-12 11:02:26.219866,0 days 00:00:20.903700,relu,6,0.008164065165278631,4.669684463418333e-05,1.1338646849151148,tiny,0.9918359348347213,64,COMPLETE
2,2,9.8,2025-05-12 11:02:26.222767,2025-05-12 11:02:44.797751,0 days 00:00:18.574984,relu,6,0.05529054689811549,0.2760651598406869,2.3467340304142934,tiny,0.9447094531018845,64,COMPLETE
3,3,98.3,2025-05-12 11:02:44.799951,2025-05-12 11:03:03.181746,0 days 00:00:18.381795,tanh,8,0.005729047237812653,2.430154759345425e-05,3.933092079588516,tiny,0.9942709527621874,256,COMPLETE
4,4,9.4,2025-05-12 11:03:03.183493,2025-05-12 11:03:28.550273,0 days 00:00:25.366780,relu,4,0.0028624680670037515,0.02352768963708196,1.7675956058929994,small,0.9971375319329963,16,COMPLETE
5,5,330.5,2025-05-12 11:03:28.552092,2025-05-12 11:03:48.709509,0 days 00:00:20.157417,tanh,10,0.00010694809046374405,0.0010862758536569126,0.34249208504594053,small,0.9998930519095363,1024,COMPLETE
6,6,328.9,2025-05-12 11:03:48.713739,2025-05-12 11:04:09.123911,0 days 00:00:20.410172,tanh,10,0.000107604061550901,0.0009534286197241654,0.3137642454488458,small,0.9998923959384491,1024,COMPLETE
7,7,298.7,2025-05-12 11:04:09.126187,2025-05-12 11:04:28.951323,0 days 00:00:19.825136,tanh,10,0.00010279993215949562,0.001789505797227902,0.35823552369324557,small,0.9998972000678406,1024,COMPLETE
8,8,9.5,2025-05-12 11:04:28.953487,2025-05-12 11:04:38.649050,0 days 00:00:09.695563,tanh,8,0.0005752032788591868,0.018653187232040753,0.6796868436336693,small,0.9994247967211408,256,PRUNED
9,9,500.0,2025-05-12 11:04:38.650438,2025-05-12 11:04:58.270433,0 days 00:00:19.619995,tanh,8,0.0006461886307566051,0.0004001535297987621,0.6362934518254555,small,0.9993538113692434,256,COMPLETE
10,10,192.4,2025-05-12 11:04:58.272920,2025-05-12 11:05:19.774447,0 days 00:00:21.501527,tanh,8,0.0008111427936239372,0.0002680611579131987,0.6903496494366022,small,0.9991888572063761,256,COMPLETE
11,11,117.4,2025-05-12 11:05:19.776114,2025-05-12 11:05:30.495813,0 days 00:00:10.719699,tanh,9,0.0004356685430177584,0.0003916819737204068,0.5651763910358436,small,0.9995643314569822,512,PRUNED
12,12,356.5,2025-05-12 11:05:30.497272,2025-05-12 11:05:55.784970,0 days 00:00:25.287698,tanh,7,0.0002960438771732889,0.008870352405352224,0.47993400721179597,small,0.9997039561228267,128,COMPLETE
13,13,8.6,2025-05-12 11:05:55.787811,2025-05-12 11:06:06.620539,0 days 00:00:10.832728,tanh,7,0.001357820240084912,0.014143746496786543,1.0773621579750028,small,0.9986421797599151,128,PRUNED
14,14,9.5,2025-05-12 11:06:06.622684,2025-05-12 11:06:18.018698,0 days 00:00:11.396014,tanh,5,0.0002789923399594709,0.2408953606120386,0.5327172444478843,small,0.9997210076600406,32,PRUNED
15,15,237.8,2025-05-12 11:06:18.020258,2025-05-12 11:06:38.200064,0 days 00:00:20.179806,tanh,7,0.0016205644794222733,0.007472094459977341,0.9127153429156465,small,0.9983794355205777,128,COMPLETE
16,16,9.4,2025-05-12 11:06:38.202850,2025-05-12 11:06:48.787141,0 days 00:00:10.584291,tanh,5,0.00023925988657907206,0.07514422617923551,1.7635636251496447,small,0.999760740113421,32,PRUNED
